Arrival Time (min),Service Duration (min),Service Start Time,Exit Time,Time in Queue,Number in System,Number in Queue
1,2.22,1,3.22,0,0,0
2,1.76,3.22,4.98,1.22,1,0
3,2.13,4.98,7.11,1.98,2,1
4,0.14,7.11,7.25,3.11,2,1
5,0.76,7.25,8.01,2.25,2,1
6,0.7,8.01,8.71,2.01,3,2
7,0.47,8.71,9.18,1.71,4,3
8,0.22,9.18,9.4,1.18,3,2
9,0.18,9.4,9.58,0.4,2,1
10,2.41,10,12.41,0,0,0
11,0.41,12.41,12.82,1.41,1,0
12,0.46,12.82,13.28,0.82,2,1
13,1.37,13.28,14.65,0.28,1,0
14,0.27,14.65,14.92,0.65,1,0
15,0.27,15,15.27,0,0,0
